TransactionID,risk_score,risk_level,TransactionAmt,ProductCD,predicted_fraud,actual_isFraud,top_reason_1,top_reason_2,top_reason_3,recommended_action,analyst_note
3495231,0.9982856639946982,High,39.593,C,1,1,C1,V45,C14,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, V45, C14. Recommended action: Review immediately."
3463900,0.9979694458409704,High,44.266,C,1,1,C1,V45,C12,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, V45, C12. Recommended action: Review immediately."
3471989,0.9979684696913996,High,45.926,C,1,1,C1,V45,V44,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, V45, V44. Recommended action: Review immediately."
3494143,0.9975915949342472,High,39.593,C,1,1,C1,V45,C14,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, V45, C14. Recommended action: Review immediately."
3494147,0.9975493440497007,High,39.593,C,1,1,V45,C1,C14,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are V45, C1, C14. Recommended action: Review immediately."
3540434,0.997416466009125,High,54.225,C,1,1,C1,V45,C12,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, V45, C12. Recommended action: Review immediately."
3495229,0.9971827354230643,High,39.593,C,1,1,V45,C1,C14,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are V45, C1, C14. Recommended action: Review immediately."
3543616,0.99718263004828,High,29.818,C,1,1,C1,V45,C13,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, V45, C13. Recommended action: Review immediately."
3522631,0.9971265756447,High,66.398,C,1,1,C1,V45,C12,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, V45, C12. Recommended action: Review immediately."
3522630,0.996940898353994,High,66.398,C,1,1,C1,V45,C12,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, V45, C12. Recommended action: Review immediately."
3524086,0.9967796559401536,High,24.346,C,1,1,V45,C1,C13,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are V45, C1, C13. Recommended action: Review immediately."
3510678,0.9967411656806828,High,18.936,C,1,1,V45,C1,C14,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are V45, C1, C14. Recommended action: Review immediately."
3537472,0.9965619834477156,High,28.834,C,1,1,V45,C1,C8,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are V45, C1, C8. Recommended action: Review immediately."
3475472,0.9965189761829868,High,100.0,H,1,1,R_emaildomain,C14,P_emaildomain,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are R_emaildomain, C14, P_emaildomain. Recommended action: Review immediately."
3502950,0.9962134579023898,High,166.918,C,1,1,C1,C13,C14,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, C13, C14. Recommended action: Review immediately."
3463043,0.9960321960385102,High,14.386,C,1,1,C1,V45,C12,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, V45, C12. Recommended action: Review immediately."
3476448,0.995888816855958,High,39.962,C,1,0,C1,R_emaildomain,P_emaildomain,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, R_emaildomain, P_emaildomain. Recommended action: Review immediately."
3504266,0.9958445254479112,High,53.549,C,1,1,C1,C13,C14,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, C13, C14. Recommended action: Review immediately."
3577083,0.9957420120274636,High,38.414,C,1,1,V45,C1,V44,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are V45, C1, V44. Recommended action: Review immediately."
3561507,0.9957167899496508,High,118.287,C,1,1,C1,V45,C13,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, V45, C13. Recommended action: Review immediately."
3569749,0.9956493274675734,High,128.001,C,1,0,C1,C13,C14,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, C13, C14. Recommended action: Review immediately."
3524080,0.9955442199941448,High,24.346,C,1,1,V45,C1,C13,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are V45, C1, C13. Recommended action: Review immediately."
3551698,0.9954511018081424,High,76.543,C,1,0,C1,C13,C14,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, C13, C14. Recommended action: Review immediately."
3537465,0.995331922732648,High,28.834,C,1,1,V45,C1,C13,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are V45, C1, C13. Recommended action: Review immediately."
3519337,0.9953187649682744,High,12.296,C,1,1,C1,C13,C11,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, C13, C11. Recommended action: Review immediately."
3571633,0.9953064194540664,High,82.629,C,1,1,C1,V45,C12,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, V45, C12. Recommended action: Review immediately."
3518623,0.9952492949734174,High,30.494,C,1,0,V45,C1,C13,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are V45, C1, C13. Recommended action: Review immediately."
3522627,0.995248121377222,High,66.398,C,1,1,C1,C12,D8,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, C12, D8. Recommended action: Review immediately."
3560132,0.9952122518912327,High,118.287,C,1,1,C1,V45,C13,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are C1, V45, C13. Recommended action: Review immediately."
3522736,0.9951394848314604,High,108.451,C,1,1,V45,C1,C13,Review immediately,"This transaction received a fraud risk score of 1.00. The main risk drivers are V45, C1, C13. Recommended action: Review immediately."
3519372,0.9949977003676164,High,104.885,C,1,1,V45,C1,C14,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are V45, C1, C14. Recommended action: Review immediately."
3565235,0.9948965947404734,High,86.687,C,1,0,C1,C13,C14,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, C14. Recommended action: Review immediately."
3495064,0.994792285276372,High,14.325,C,1,1,C1,C13,R_emaildomain,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C13, R_emaildomain. Recommended action: Review immediately."
3479323,0.9944657908884572,High,6.394,C,1,0,C1,V45,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, V45, C13. Recommended action: Review immediately."
3568818,0.9944056182371644,High,22.625,C,1,0,V45,C1,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are V45, C1, C13. Recommended action: Review immediately."
3504585,0.9941984010788124,High,200.0,R,1,1,C1,C14,C13,Review immediately,"This transaction received a fraud risk score of 0.99. The main risk drivers are C1, C14, C13. Recommended action: Review immediately."
