threshold,true_positives,false_positives,true_negatives,false_negatives,precision,recall,flagged_transactions,estimated_fraud_amount_captured,investigation_cost,estimated_missed_fraud_loss,estimated_net_benefit
0.05,674,13526,5783,17,0.04746478873239437,0.975397973950796,14200,100297.609375,71000.0,1172.550048828125,29297.609375
0.1,654,9888,9421,37,0.062037564029595905,0.9464544138929089,10542,99133.71875,52710.0,2336.44287109375,46423.71875
0.15,632,7426,11883,59,0.0784313725490196,0.914616497829233,8058,94550.15625,40290.0,6920.01220703125,54260.15625
0.2,615,5803,13506,76,0.09582424431287005,0.8900144717800289,6418,90405.0234375,32090.0,11065.1416015625,58315.0234375
0.25,596,4695,14614,95,0.11264411264411264,0.8625180897250362,5291,85563.40625,26455.0,15906.751953125,59108.40625
0.3,576,3817,15492,115,0.1311176872296836,0.8335745296671491,4393,82490.953125,21965.0,18979.21875,60525.953125
0.35,547,3147,16162,144,0.1480779642663779,0.7916063675832128,3694,78209.21875,18470.0,23260.947265625,59739.21875
0.4,522,2578,16731,169,0.16838709677419356,0.7554269175108539,3100,75008.8125,15500.0,26461.34765625,59508.8125
0.45,487,2086,17223,204,0.1892732219199378,0.7047756874095513,2573,64663.0546875,12865.0,36807.1015625,51798.0546875
0.5,449,1711,17598,242,0.20787037037037037,0.6497829232995659,2160,59599.31640625,10800.0,41870.84375,48799.31640625
0.55,421,1351,17958,270,0.2375846501128668,0.6092619392185239,1772,55225.1875,8860.0,46244.9765625,46365.1875
0.6,388,1053,18256,303,0.26925746009715473,0.5615050651230101,1441,51541.6640625,7205.0,49928.5,44336.6640625
0.65,368,775,18534,323,0.3219597550306212,0.532561505065123,1143,48196.98828125,5715.0,53273.171875,42481.98828125
0.7,334,536,18773,357,0.3839080459770115,0.4833574529667149,870,41396.90625,4350.0,60073.2578125,37046.90625
0.75,304,387,18922,387,0.4399421128798842,0.4399421128798842,691,37330.8828125,3455.0,64139.28125,33875.8828125
0.8,275,254,19055,416,0.5198487712665406,0.3979739507959479,529,32585.060546875,2645.0,68885.109375,29940.060546875
0.85,250,144,19165,441,0.6345177664974619,0.361794500723589,394,30016.9140625,1970.0,71453.25,28046.9140625
0.9,210,68,19241,481,0.7553956834532374,0.30390738060781475,278,20954.25390625,1390.0,80515.90625,19564.25390625
0.95,154,24,19285,537,0.8651685393258427,0.22286541244573083,178,13709.279296875,890.0,87760.890625,12819.279296875
